Comunidades y ciudades autónomas	Sexo	periodo	Total
Total nacional	Ambos sexos	2029	73,81
Total nacional	Ambos sexos	2028	73,87
Total nacional	Ambos sexos	2027	74,06
Total nacional	Ambos sexos	2026	74,27
Total nacional	Ambos sexos	2025	74,44
Total nacional	Ambos sexos	2024	74,71
Total nacional	Ambos sexos	2023	74,91
Total nacional	Ambos sexos	2022	75,1
Total nacional	Ambos sexos	2021	75,3
Total nacional	Ambos sexos	2020	75,47
Total nacional	Ambos sexos	2019	75,63
Total nacional	Ambos sexos	2018	75,69
Total nacional	Ambos sexos	2017	75,69
Total nacional	Ambos sexos	2016	75,64
Total nacional	Ambos sexos	2015	75,45
Total nacional	Ambos sexos	2014	75,25
Total nacional	Ambos sexos	2013	75,31
Total nacional	Ambos sexos	2012	75,12
Total nacional	Ambos sexos	2011	74,75
Total nacional	Ambos sexos	2010	74,21
Total nacional	Ambos sexos	2009	74,17
Total nacional	Ambos sexos	2008	73,27
Total nacional	Ambos sexos	2007	72,46
Total nacional	Ambos sexos	2006	71,63
Total nacional	Ambos sexos	2005	70,58
Total nacional	Ambos sexos	2004	69,57
Total nacional	Ambos sexos	2003	68,38
Total nacional	Ambos sexos	2002	66,69
Total nacional	Ambos sexos	2001	65,21
Total nacional	Ambos sexos	2000	64,09
Total nacional	Ambos sexos	1999	62,73
Total nacional	Ambos sexos	1998	61,9
Total nacional	Ambos sexos	1997	61,27
Total nacional	Ambos sexos	1996	60,48
Total nacional	Ambos sexos	1995	60,15
Total nacional	Ambos sexos	1994	60,15
Total nacional	Ambos sexos	1993	59,82
Total nacional	Ambos sexos	1992	60,03
Total nacional	Ambos sexos	1991	60,04
Total nacional	Ambos sexos	1990	59,77
Total nacional	Ambos sexos	1989	59,43
Total nacional	Ambos sexos	1988	59,36
Total nacional	Ambos sexos	1987	57,67
Total nacional	Ambos sexos	1986	56,91
Total nacional	Ambos sexos	1985	57,04
Total nacional	Ambos sexos	1984	57,33
Total nacional	Ambos sexos	1983	57,42
