CCAA de su universidad	Ámbito de estudio	Tasas de actividad, empleo y paro	Total
Total nacional	TOTAL	Tasa de actividad	93,6
Total nacional	TOTAL	Tasa de empleo	86,1
Total nacional	TOTAL	Tasa de paro	8
Total nacional	01 - EDUCACIÓN	Tasa de actividad	93,4
Total nacional	01 - EDUCACIÓN	Tasa de empleo	82,2
Total nacional	01 - EDUCACIÓN	Tasa de paro	12,1
Total nacional	Formación de docentes de enseñanza infantil	Tasa de actividad	92,7
Total nacional	Formación de docentes de enseñanza infantil	Tasa de empleo	78,9
Total nacional	Formación de docentes de enseñanza infantil	Tasa de paro	14,9
Total nacional	Formación de docentes de enseñanza primaria	Tasa de actividad	93,8
Total nacional	Formación de docentes de enseñanza primaria	Tasa de empleo	83,5
Total nacional	Formación de docentes de enseñanza primaria	Tasa de paro	10,9
Total nacional	Educación (Otros estudios)	Tasa de actividad	93,7
Total nacional	Educación (Otros estudios)	Tasa de empleo	83,8
Total nacional	Educación (Otros estudios)	Tasa de paro	10,6
Total nacional	02 - ARTES Y HUMANIDADES	Tasa de actividad	89,3
Total nacional	02 - ARTES Y HUMANIDADES	Tasa de empleo	77,1
Total nacional	02 - ARTES Y HUMANIDADES	Tasa de paro	13,6
Total nacional	Técnicas audiovisuales y medios de comunicación	Tasa de actividad	95,7
Total nacional	Técnicas audiovisuales y medios de comunicación	Tasa de empleo	83,8
Total nacional	Técnicas audiovisuales y medios de comunicación	Tasa de paro	12,5
Total nacional	Artes (Otros estudios)	Tasa de actividad	85,1
Total nacional	Artes (Otros estudios)	Tasa de empleo	71,9
Total nacional	Artes (Otros estudios)	Tasa de paro	15,5
Total nacional	Humanidades	Tasa de actividad	85,1
Total nacional	Humanidades	Tasa de empleo	71,2
Total nacional	Humanidades	Tasa de paro	16,4
Total nacional	Lenguas	Tasa de actividad	92,1
Total nacional	Lenguas	Tasa de empleo	81,6
Total nacional	Lenguas	Tasa de paro	11,4
Total nacional	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de actividad	93,4
Total nacional	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de empleo	85,1
Total nacional	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de paro	8,9
Total nacional	Economía	Tasa de actividad	93,3
Total nacional	Economía	Tasa de empleo	87,8
Total nacional	Economía	Tasa de paro	6
Total nacional	Psicología	Tasa de actividad	92,2
Total nacional	Psicología	Tasa de empleo	82,7
Total nacional	Psicología	Tasa de paro	10,3
Total nacional	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de actividad	91,5
Total nacional	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de empleo	85,8
Total nacional	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de paro	6,2
Total nacional	Periodismo y documentación	Tasa de actividad	97,5
Total nacional	Periodismo y documentación	Tasa de empleo	86,3
Total nacional	Periodismo y documentación	Tasa de paro	11,5
Total nacional	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de actividad	91,2
Total nacional	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de empleo	84
Total nacional	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de paro	8
Total nacional	Dirección y administración	Tasa de actividad	93,7
Total nacional	Dirección y administración	Tasa de empleo	86,7
Total nacional	Dirección y administración	Tasa de paro	7,5
Total nacional	Negocios y administración (Otros estudios)	Tasa de actividad	94,6
Total nacional	Negocios y administración (Otros estudios)	Tasa de empleo	86,1
Total nacional	Negocios y administración (Otros estudios)	Tasa de paro	9
Total nacional	Derecho	Tasa de actividad	85,9
Total nacional	Derecho	Tasa de empleo	78,7
Total nacional	Derecho	Tasa de paro	8,4
Total nacional	05 - CIENCIAS	Tasa de actividad	93,4
Total nacional	05 - CIENCIAS	Tasa de empleo	83,6
Total nacional	05 - CIENCIAS	Tasa de paro	10,5
Total nacional	Ciencias de la vida	Tasa de actividad	93,2
Total nacional	Ciencias de la vida	Tasa de empleo	81,7
Total nacional	Ciencias de la vida	Tasa de paro	12,4
Total nacional	Medio ambiente	Tasa de actividad	93,9
Total nacional	Medio ambiente	Tasa de empleo	85,7
Total nacional	Medio ambiente	Tasa de paro	8,7
Total nacional	Ciencias químicas, físicas y geológicas	Tasa de actividad	93,5
Total nacional	Ciencias químicas, físicas y geológicas	Tasa de empleo	83,7
Total nacional	Ciencias químicas, físicas y geológicas	Tasa de paro	10,5
Total nacional	Matemáticas y estadística	Tasa de actividad	93,4
Total nacional	Matemáticas y estadística	Tasa de empleo	89,8
Total nacional	Matemáticas y estadística	Tasa de paro	3,8
Total nacional	06 - INFORMÁTICA	Tasa de actividad	98,5
Total nacional	06 - INFORMÁTICA	Tasa de empleo	96,3
Total nacional	06 - INFORMÁTICA	Tasa de paro	2,3
Total nacional	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de actividad	96,6
Total nacional	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de empleo	92
Total nacional	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de paro	4,7
Total nacional	Ingeniería y profesiones afines	Tasa de actividad	97,2
Total nacional	Ingeniería y profesiones afines	Tasa de empleo	93,7
Total nacional	Ingeniería y profesiones afines	Tasa de paro	3,6
Total nacional	Industria manufacturera y producción	Tasa de actividad	95,8
Total nacional	Industria manufacturera y producción	Tasa de empleo	88,9
Total nacional	Industria manufacturera y producción	Tasa de paro	7,2
Total nacional	Arquitectura y construcción	Tasa de actividad	95,7
Total nacional	Arquitectura y construcción	Tasa de empleo	89,7
Total nacional	Arquitectura y construcción	Tasa de paro	6,3
Total nacional	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de actividad	94,1
Total nacional	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de empleo	88,6
Total nacional	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de paro	5,8
Total nacional	Agricultura y ganadería	Tasa de actividad	94,1
Total nacional	Agricultura y ganadería	Tasa de empleo	88,9
Total nacional	Agricultura y ganadería	Tasa de paro	5,5
Total nacional	Silvicultura	Tasa de actividad	94,9
Total nacional	Silvicultura	Tasa de empleo	88,8
Total nacional	Silvicultura	Tasa de paro	6,4
Total nacional	Veterinaria	Tasa de actividad	93,6
Total nacional	Veterinaria	Tasa de empleo	88,1
Total nacional	Veterinaria	Tasa de paro	5,9
Total nacional	09 - SALUD Y SERVICIOS SOCIALES	Tasa de actividad	96
Total nacional	09 - SALUD Y SERVICIOS SOCIALES	Tasa de empleo	92,1
Total nacional	09 - SALUD Y SERVICIOS SOCIALES	Tasa de paro	4,1
Total nacional	Medicina	Tasa de actividad	97
Total nacional	Medicina	Tasa de empleo	95
Total nacional	Medicina	Tasa de paro	2,1
Total nacional	Enfermería	Tasa de actividad	96
Total nacional	Enfermería	Tasa de empleo	92,7
Total nacional	Enfermería	Tasa de paro	3,5
Total nacional	Salud (Otros estudios)	Tasa de actividad	96,7
Total nacional	Salud (Otros estudios)	Tasa de empleo	92,3
Total nacional	Salud (Otros estudios)	Tasa de paro	4,5
Total nacional	Servicios sociales	Tasa de actividad	92,9
Total nacional	Servicios sociales	Tasa de empleo	86,2
Total nacional	Servicios sociales	Tasa de paro	7,2
Total nacional	10 - SERVICIOS	Tasa de actividad	92,1
Total nacional	10 - SERVICIOS	Tasa de empleo	84,4
Total nacional	10 - SERVICIOS	Tasa de paro	8,4
Total nacional	Actividades físicas y deportivas	Tasa de actividad	92,6
Total nacional	Actividades físicas y deportivas	Tasa de empleo	86,6
Total nacional	Actividades físicas y deportivas	Tasa de paro	6,4
Total nacional	Viajes, turismo y ocio	Tasa de actividad	91
Total nacional	Viajes, turismo y ocio	Tasa de empleo	80,8
Total nacional	Viajes, turismo y ocio	Tasa de paro	11,3
Total nacional	Servicios (Otros estudios)	Tasa de actividad	95,6
Total nacional	Servicios (Otros estudios)	Tasa de empleo	91,1
Total nacional	Servicios (Otros estudios)	Tasa de paro	4,8
Andalucía	TOTAL	Tasa de actividad	90,4
Andalucía	TOTAL	Tasa de empleo	78,3
Andalucía	TOTAL	Tasa de paro	13,3
Andalucía	01 - EDUCACIÓN	Tasa de actividad	91,6
Andalucía	01 - EDUCACIÓN	Tasa de empleo	73,3
Andalucía	01 - EDUCACIÓN	Tasa de paro	20
Andalucía	Formación de docentes de enseñanza infantil	Tasa de actividad	92,7
Andalucía	Formación de docentes de enseñanza infantil	Tasa de empleo	67,6
Andalucía	Formación de docentes de enseñanza infantil	Tasa de paro	27,1
Andalucía	Formación de docentes de enseñanza primaria	Tasa de actividad	89,8
Andalucía	Formación de docentes de enseñanza primaria	Tasa de empleo	72,5
Andalucía	Formación de docentes de enseñanza primaria	Tasa de paro	19,4
Andalucía	Educación (Otros estudios)	Tasa de actividad	92,8
Andalucía	Educación (Otros estudios)	Tasa de empleo	78,9
Andalucía	Educación (Otros estudios)	Tasa de paro	15,1
Andalucía	02 - ARTES Y HUMANIDADES	Tasa de actividad	88
Andalucía	02 - ARTES Y HUMANIDADES	Tasa de empleo	73,4
Andalucía	02 - ARTES Y HUMANIDADES	Tasa de paro	16,6
Andalucía	Técnicas audiovisuales y medios de comunicación	Tasa de actividad	98,1
Andalucía	Técnicas audiovisuales y medios de comunicación	Tasa de empleo	77,2
Andalucía	Técnicas audiovisuales y medios de comunicación	Tasa de paro	21,3
Andalucía	Artes (Otros estudios)	Tasa de actividad	84,2
Andalucía	Artes (Otros estudios)	Tasa de empleo	67,3
Andalucía	Artes (Otros estudios)	Tasa de paro	20,1
Andalucía	Humanidades	Tasa de actividad	86,3
Andalucía	Humanidades	Tasa de empleo	66,3
Andalucía	Humanidades	Tasa de paro	23,1
Andalucía	Lenguas	Tasa de actividad	89
Andalucía	Lenguas	Tasa de empleo	79,1
Andalucía	Lenguas	Tasa de paro	11,2
Andalucía	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de actividad	86,8
Andalucía	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de empleo	75,8
Andalucía	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de paro	12,7
Andalucía	Economía	Tasa de actividad	91,1
Andalucía	Economía	Tasa de empleo	84,3
Andalucía	Economía	Tasa de paro	7,4
Andalucía	Psicología	Tasa de actividad	83,9
Andalucía	Psicología	Tasa de empleo	74,4
Andalucía	Psicología	Tasa de paro	11,4
Andalucía	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de actividad	80,8
