Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	Total Nacional	Total	2023T4	58,99
Ambos sexos	Total Nacional	Total	2023T3	59,41
Ambos sexos	Total Nacional	Total	2023T2	58,97
Ambos sexos	Total Nacional	Total	2023T1	58,55
Ambos sexos	Total Nacional	Total	2022T4	58,52
Ambos sexos	Total Nacional	Total	2022T3	58,86
Ambos sexos	Total Nacional	Total	2022T2	58,71
Ambos sexos	Total Nacional	Total	2022T1	58,5
Ambos sexos	Total Nacional	Total	2021T4	58,65
Ambos sexos	Total Nacional	Total	2021T3	59,14
Ambos sexos	Total Nacional	Total	2021T2	58,58
Ambos sexos	Total Nacional	Total	2021T1	57,69
Ambos sexos	Total Nacional	Menores de 25 años	2023T4	36,37
Ambos sexos	Total Nacional	Menores de 25 años	2023T3	40,54
Ambos sexos	Total Nacional	Menores de 25 años	2023T2	36,87
Ambos sexos	Total Nacional	Menores de 25 años	2023T1	34,86
Ambos sexos	Total Nacional	Menores de 25 años	2022T4	35,22
Ambos sexos	Total Nacional	Menores de 25 años	2022T3	39,09
Ambos sexos	Total Nacional	Menores de 25 años	2022T2	37,29
Ambos sexos	Total Nacional	Menores de 25 años	2022T1	34,77
Ambos sexos	Total Nacional	Menores de 25 años	2021T4	33,89
Ambos sexos	Total Nacional	Menores de 25 años	2021T3	38,79
Ambos sexos	Total Nacional	Menores de 25 años	2021T2	35,96
Ambos sexos	Total Nacional	Menores de 25 años	2021T1	32,41
Ambos sexos	Total Nacional	25 y más años	2023T4	61,91
Ambos sexos	Total Nacional	25 y más años	2023T3	61,82
Ambos sexos	Total Nacional	25 y más años	2023T2	61,77
Ambos sexos	Total Nacional	25 y más años	2023T1	61,55
Ambos sexos	Total Nacional	25 y más años	2022T4	61,47
Ambos sexos	Total Nacional	25 y más años	2022T3	61,34
Ambos sexos	Total Nacional	25 y más años	2022T2	61,38
Ambos sexos	Total Nacional	25 y más años	2022T1	61,43
Ambos sexos	Total Nacional	25 y más años	2021T4	61,7
Ambos sexos	Total Nacional	25 y más años	2021T3	61,64
Ambos sexos	Total Nacional	25 y más años	2021T2	61,35
Ambos sexos	Total Nacional	25 y más años	2021T1	60,77
Ambos sexos	Total Nacional	De 16 a 19 años	2023T4	13,43
Ambos sexos	Total Nacional	De 16 a 19 años	2023T3	17,28
Ambos sexos	Total Nacional	De 16 a 19 años	2023T2	14,11
Ambos sexos	Total Nacional	De 16 a 19 años	2023T1	12,71
Ambos sexos	Total Nacional	De 16 a 19 años	2022T4	13,19
Ambos sexos	Total Nacional	De 16 a 19 años	2022T3	16,6
Ambos sexos	Total Nacional	De 16 a 19 años	2022T2	14,96
Ambos sexos	Total Nacional	De 16 a 19 años	2022T1	13,49
Ambos sexos	Total Nacional	De 16 a 19 años	2021T4	12,39
Ambos sexos	Total Nacional	De 16 a 19 años	2021T3	16,52
Ambos sexos	Total Nacional	De 16 a 19 años	2021T2	13,87
Ambos sexos	Total Nacional	De 16 a 19 años	2021T1	10,05
Ambos sexos	Total Nacional	De 20 a 24 años	2023T4	54,98
Ambos sexos	Total Nacional	De 20 a 24 años	2023T3	59,2
Ambos sexos	Total Nacional	De 20 a 24 años	2023T2	55,05
Ambos sexos	Total Nacional	De 20 a 24 años	2023T1	52,9
Ambos sexos	Total Nacional	De 20 a 24 años	2022T4	53,34
Ambos sexos	Total Nacional	De 20 a 24 años	2022T3	57,53
Ambos sexos	Total Nacional	De 20 a 24 años	2022T2	55,48
Ambos sexos	Total Nacional	De 20 a 24 años	2022T1	52,1
Ambos sexos	Total Nacional	De 20 a 24 años	2021T4	51,42
Ambos sexos	Total Nacional	De 20 a 24 años	2021T3	57,02
Ambos sexos	Total Nacional	De 20 a 24 años	2021T2	54,01
Ambos sexos	Total Nacional	De 20 a 24 años	2021T1	50,47
Ambos sexos	Total Nacional	De 25 a 54 años	2023T4	88,04
Ambos sexos	Total Nacional	De 25 a 54 años	2023T3	87,83
Ambos sexos	Total Nacional	De 25 a 54 años	2023T2	87,94
Ambos sexos	Total Nacional	De 25 a 54 años	2023T1	87,62
Ambos sexos	Total Nacional	De 25 a 54 años	2022T4	87,64
Ambos sexos	Total Nacional	De 25 a 54 años	2022T3	87,29
Ambos sexos	Total Nacional	De 25 a 54 años	2022T2	87,33
Ambos sexos	Total Nacional	De 25 a 54 años	2022T1	87,43
Ambos sexos	Total Nacional	De 25 a 54 años	2021T4	87,61
Ambos sexos	Total Nacional	De 25 a 54 años	2021T3	87,51
Ambos sexos	Total Nacional	De 25 a 54 años	2021T2	87,18
Ambos sexos	Total Nacional	De 25 a 54 años	2021T1	86,22
Ambos sexos	Total Nacional	55 y más años	2023T4	30,43
Ambos sexos	Total Nacional	55 y más años	2023T3	30,36
Ambos sexos	Total Nacional	55 y más años	2023T2	29,98
Ambos sexos	Total Nacional	55 y más años	2023T1	29,75
Ambos sexos	Total Nacional	55 y más años	2022T4	29,4
Ambos sexos	Total Nacional	55 y más años	2022T3	29,41
Ambos sexos	Total Nacional	55 y más años	2022T2	29,3
Ambos sexos	Total Nacional	55 y más años	2022T1	29,11
Ambos sexos	Total Nacional	55 y más años	2021T4	29,25
Ambos sexos	Total Nacional	55 y más años	2021T3	28,99
Ambos sexos	Total Nacional	55 y más años	2021T2	28,48
Ambos sexos	Total Nacional	55 y más años	2021T1	28,12
